Pkey,Year,Quarter,Year ending,Main accommodation used,Total visitors
367,2013,4,YEDec 2013,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",69400
368,2013,4,YEDec 2013,  Other,
369,2013,4,YEDec 2013,  Private Hotel / Guesthouse,19435
370,2013,4,YEDec 2013,  Staying with family or friends,665663
371,2013,4,YEDec 2013,  Student residence,4760
372,2013,4,YEDec 2013,  Unknown,17477
373,2013,4,YEDec 2013,  Yacht or other boat,16439
374,2013,4,YEDec 2013,"  Youth Hostel, YMCA, YWCA",67239
375,2014,4,YEDec 2014,  A house you own,1458
376,2014,4,YEDec 2014,  Another place where you pay to park a caravan or campervan / motorhome overnight,10759
377,2014,4,YEDec 2014,  Backpackers,82130
378,2014,4,YEDec 2014,  Bed and Breakfast,59328
379,2014,4,YEDec 2014,  Camping at a National Park / Department of Conservation camping ground,24299
380,2014,4,YEDec 2014,  Farm-stay or Home-stay,19631
381,2014,4,YEDec 2014,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",13618
382,2014,4,YEDec 2014,  Hotel,527269
383,2014,4,YEDec 2014,  House / flat that you paid some rent for,185733
384,2014,4,YEDec 2014,  In a hut at a National Park / Department of Conservation area,9134
385,2014,4,YEDec 2014,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",180427
386,2014,4,YEDec 2014,  Marae,2863
387,2014,4,YEDec 2014,"  Motel, Motor Inn or Serviced Apartment",379705
388,2014,4,YEDec 2014,  NOT SURE,66327
389,2014,4,YEDec 2014,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",87919
390,2014,4,YEDec 2014,  Other,834
391,2014,4,YEDec 2014,  Private Hotel / Guesthouse,22688
392,2014,4,YEDec 2014,  Staying with family or friends,770672
393,2014,4,YEDec 2014,  Student residence,7153
394,2014,4,YEDec 2014,  Unknown,51239
395,2014,4,YEDec 2014,  Yacht or other boat,2704
396,2014,4,YEDec 2014,"  Youth Hostel, YMCA, YWCA",60347
397,2015,4,YEDec 2015,  A house you own,29949
